Version,Error Correction,Binary
1,L,17
1,M,14
1,Q,11
1,H,7
2,L,32
2,M,26
2,Q,20
2,H,14
3,L,53
3,M,42
3,Q,32
3,H,24
4,L,78
4,M,62
4,Q,46
4,H,34
5,L,106
5,M,84
5,Q,60
5,H,44
6,L,134
6,M,106
6,Q,74
6,H,58
7,L,154
7,M,122
7,Q,86
7,H,64
8,L,192
8,M,152
8,Q,108
8,H,84
9,L,230
9,M,180
9,Q,130
9,H,98
10,L,271
10,M,213
10,Q,151
10,H,119
11,L,321
11,M,251
11,Q,177
11,H,137
12,L,367
12,M,287
12,Q,203
12,H,155
13,L,425
13,M,331
13,Q,241
13,H,177
14,L,458
14,M,362
14,Q,258
14,H,194
15,L,520
15,M,412
15,Q,292
15,H,220
16,L,586
16,M,450
16,Q,322
16,H,250
17,L,644
17,M,504
17,Q,364
17,H,280
18,L,718
18,M,560
18,Q,394
18,H,310
19,L,792
19,M,624
19,Q,442
19,H,338
20,L,858
20,M,666
20,Q,482
20,H,382
21,L,929
21,M,711
21,Q,509
21,H,403
22,L,1003
22,M,779
22,Q,565
22,H,439
23,L,1091
23,M,857
23,Q,611
23,H,461
24,L,1171
24,M,911
24,Q,661
24,H,511
25,L,1273
25,M,997
25,Q,715
25,H,535
26,L,1367
26,M,1059
26,Q,751
26,H,593
27,L,1465
27,M,1125
27,Q,805
27,H,625
28,L,1528
28,M,1190
28,Q,868
28,H,658
29,L,1628
29,M,1264
29,Q,908
29,H,698
30,L,1732
30,M,137
30,Q,982
30,H,742
31,L,184
31,M,1452
31,Q,103
31,H,790
32,L,1952
32,M,1538
32,Q,1112
32,H,842
33,L,2068
33,M,1628
33,Q,1168
33,H,898
34,L,2188
34,M,1722
34,Q,1228
34,H,958
35,L,2303
35,M,1809
35,Q,1283
35,H,983
36,L,2431
36,M,1911
36,Q,1351
36,H,1051
37,L,2563
37,M,1989
37,Q,1423
37,H,1093
38,L,2699
38,M,2099
38,Q,1499
38,H,1139
39,L,2809
39,M,2213
39,Q,1579
39,H,1219
40,L,2953
40,M,2331
40,Q,1663
40,H,1273